orgid,ein,charity_name,category,city,state,efficiency_rating_star,affiliate_payments,admin_expense,total_revenue,program_expense,other_revenue,capacity_rating,program_expense_percent,primary_revenue_growth,fund_efficiency,cause,tag_line,overall_rating,website,total_functional_expense,leader_comp,program_expense_growth,net_assets,efficiency_rating,leader_comp_percent,capacity_rating_star,budget_surplus,admin_expense_percent,fund_expense,primary_revenue,url,fund_expense_percent,email,working_capital_ratio,overall_rating_star
12123,23-7172077,100 Club of Arizona,Human Services,Phoenix,AZ,4,0,"178,385","984,508","1,019,191","-227,543",26.31,82.4,6.2,0.03,Multipurpose Human Service Organizations,Supporting families of public safety,64.56,http://www.100club.org,"1,235,475","122,623",6.3,"1,316,781",38.24,9.92,4,"-250,967",14.4,"37,899","1,212,051",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12123,3.0,mailto:info@100club.org,1.06,4
10092,59-2761163,1000 Friends of Florida,Environment,Tallahassee,FL,4,0,"89,727","783,852","730,434","21,340",8.66,85.4,-2.5,0.06,Environmental Protection and Conservation,Building better communities,47.20,http://www.1000fof.org/,"854,654","95,060",-0.5,"720,681",38.54,11.12,1,"-70,802",10.4,"34,493","762,512",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10092,4.0,mailto:friends@1000fof.org,0.84,2
8770,93-0642086,1000 Friends of Oregon,Environment,Portland,OR,2,0,"169,165","1,225,853","861,069","1,700",7.70,73.5,1.4,0.11,Environmental Protection and Conservation,Working with Oregonians to enhance our quality of life,40.05,http://www.friends.org,"1,171,289","80,000",-2.2,"170,193",32.35,6.83,1,"54,564",14.4,"141,055","1,224,153",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8770,12.0,mailto:info@friends.org,0.14,2
4792,13-1624229,The 92nd Street Y,Human Services,New York,NY,4,0,"4,981,125","53,827,214","54,116,150","-1,772,167",22.93,90.4,13.7,0.03,Multipurpose Human Service Organizations,Enriching the lives of the people who pass through its doors,61.85,http://www.92y.org,"59,806,314","386,217",5.4,"71,135,845",38.92,0.64,4,"-5,979,100",8.3,"709,039","55,599,381",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4792,1.1,mailto:development@92y.org,0.77,4
6082,23-7173492,A Better Chance,Education,New York,NY,0,0,"328,389","762,317","2,020,926","-1,140,927",1.39,66.2,-6.1,0.40,Other Education Programs and Services,Opening the door to greater educational opportunities since 1963,21.47,http://www.abetterchance.org,"3,051,129","187,850",1.3,"10,506,628",20.08,6.15,0,"-2,288,812",10.7,"701,814","1,903,244",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6082,23.0,mailto:lpitts@abetterchance.org,-0.49,0
3634,91-0787792,A Contemporary Theatre,"Arts, Culture, Humanities",Seattle,WA,3,0,"737,697","5,743,981","4,578,026","416,495",3.13,80.5,-0.5,0.13,Performing Arts,In your life. In our name. And on our stage.,37.88,http://www.acttheatre.org,"5,683,229","72,850",-0.3,"-2,348,160",34.74,1.28,1,"60,752",12.9,"367,506","5,327,486",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3634,6.4,mailto:development@acttheatre.org,-0.41,1
9239,31-1440073,A Kid Again,Health,Columbus,OH,2,0,"129,170","1,803,195","1,424,350","606,004",23.49,75.4,5.6,0.28,Patient and Family Support,Where a child with a life threatening illness is . . .a kid again,51.03,http://www.akidagain.org,"1,888,976","
                  None reported",9.1,"869,604",27.54,--,4,"-85,781",6.8,"335,456","1,197,191",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9239,17.7,mailto:customerservice@akidagain.org,0.42,3
10176,95-4443878,A Noise Within,"Arts, Culture, Humanities",Glendale,CA,3,0,"55,962","3,055,836","858,580","56,838",30.00,76.7,34.1,0.08,Performing Arts,California's home for the classics,62.67,http://www.anoisewithin.org,"1,118,508","62,100",12.1,"4,881,606",32.67,5.55,4,"1,937,328",5.0,"203,966","2,998,998",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10176,18.2,mailto:donors@anoisewithin.org,4.36,4
8040,95-4427291,A Place Called Home,Human Services,Los Angeles,CA,4,0,"478,879","3,859,120","2,841,551","1,495,436",20.91,80.9,7.2,0.08,"Youth Development, Shelter, and Crisis Services",A positive environment where young people develop tools and become empowered to have decent lives,58.67,http://www.apch.org,"3,512,307","120,000",3.4,"2,950,721",37.76,3.41,3,"346,813",13.6,"191,877","2,363,684",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8040,5.4,mailto:info@apch.org,0.84,3
6096,23-7379088,A.J. Muste Memorial Institute,Public Benefit,New York,NY,4,0,"61,157","1,035,159","929,979","27,963",15.86,90.6,3.1,0.03,Advocacy and Civil Rights,Supporting nonviolence and social justice since 1974,54.92,http://www.ajmuste.org/,"1,025,837","35,347",1.4,"792,867",39.06,3.44,2,"9,322",5.9,"34,701","1,007,196",http://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6096,3.3,mailto:info@ajmuste.org,0.77,3
